wallet_address,weighted_score,score_band,total_transactions,total_amount_usd,avg_amount_usd,std_amount_usd,wallet_age_days,asset_diversity,txn_per_day,pattern_explanation_rule
0x37acfef331e6063c8507c2a69c97b4f78c770a5a,100,Excellent,1084,39683482.17,36608.37838,63049.08128,45,2,24.08888889,"High activity, Long wallet age, Diverse assets, High variance in transaction sizes"
0x6168bb05ccb4aaded0169602bbb6e3cae12902c5,71.85617443,Very Good,118,8801.385982,74.5880168,123.2582227,80,7,1.475,"High activity, Long wallet age, Diverse assets, High variance in transaction sizes"
0x42b9df65b219b3dd36ff330a4dd8f327a6ada990,70.8145149,Very Good,95,36.84354018,0.387826739,0.758900565,79,7,1.202531646,"High activity, Long wallet age, Diverse assets, Stable transaction sizes"
0xdf0635793e91d4f8e7426dbd9ed08471186f428d,69.77170432,Very Good,37,59.173337,1.599279378,4.116838415,87,7,0.425287356,"High activity, Long wallet age, Diverse assets, High variance in transaction sizes"
0xa17f75c6d52951699350f308d1220e2dca7b4cda,69.49423858,Very Good,57,664.0554555,11.65009571,13.65525113,80,7,0.7125,"High activity, Long wallet age, Diverse assets, High variance in transaction sizes"
0xa592cb9bde3df473e762545d54f6b89b36afde4c,19.71316529,Risky,3,784622.3544,261540.7848,317101.3493,1,1,3,"High activity, Short wallet age, Low asset diversity, High variance in transaction sizes"
0xc1852f917835a9f2f97112672bc5c8afd1f21dc3,12.3553458,Risky,15,21314551.05,1420970.07,1334264.648,54,1,0.277777778,"High activity, Long wallet age, Low asset diversity, High variance in transaction sizes"
0x9d11b1e1445b017902e561ceb201f009b3d53a42,12.28218583,Risky,2,849741.3604,424870.6802,600836.509,1,1,2,"Low activity, Short wallet age, Low asset diversity, High variance in transaction sizes"
0x320bb16ad49c27825e619a1ce658aeb4bcd68af0,1.135788894,Risky,4,4799960,1199990,1235583.533,23,1,0.173913043,"High activity, Long wallet age, Low asset diversity, High variance in transaction sizes"
0x4becca336d9d7ab7aabddabc7985b26d683f15ea,0,Risky,3,6646780.022,2215593.341,1251628.346,12,1,0.25,"High activity, Long wallet age, Low asset diversity, High variance in transaction sizes"
